"Parameter Name","From HEX","To HEX"
"MIX1 SEND","28EA","2921"
"MIX2 SEND","292A","2961"
"MIX3 SEND","296A","29A1"
"MIX4 SEND","29AA","29E1"
"MIX5 SEND","29EA","2A21"
"MIX6 SEND","2A2A","2A61"
"MIX7 SEND","2A6A","2AA1"
"MIX8 SEND","2AAA","2AE1"
"INPUT TO MATRIX5","2AEA","2B21"
"INPUT TO MATRIX6","2B2A","2B61"
"INPUT TO MATRIX7","2B6A","2BA1"
"INPUT TO MATRIX8","2BAA","2BE1"
"MATRIX1 SEND","2BEA","2BEE"
"MATRIX2 SEND","2BF0","2BF4"
"MATRIX3 SEND","2BF6","2BFA"
"MATRIX4 SEND","2BFC","2C00"
"MATRIX5 SEND","2C02","2C06"
"MATRIX6 SEND","2C08","2C0C"
"MATRIX7 SEND","2C0E","2C12"
"MATRIX8 SEND","2C14","2C18"
"MONO(C) ON","2C2A","2C2E"
"MIX1 SEND","2C30","2C67"
"MIX2 SEND","2C70","2CA7"
"MIX3 SEND","2CB0","2CE7"
"MIX4 SEND","2CF0","2D27"
"MIX5 SEND","2D30","2D67"
"MIX6 SEND","2D70","2DA7"
"MIX7 SEND","2DB0","2DE7"
"MIX8 SEND","2DF0","2E27"
"INPUT TO MATRIX5","2E30","2E67"
"INPUT TO MATRIX6","2E70","2EA7"
"INPUT TO MATRIX7","2EB0","2EE7"
"INPUT TO MATRIX8","2EF0","2F27"
"MATRIX SEND","2F30","2F34"
"MIX TO ST","2F36","2F3D"
"INSERT MONO(C)","2F46","2F4A"
"MIX1 SEND","2F4C","2F83"
"MIX2 SEND","2F8C","2FC3"
"MIX3 SEND","2FCC","3003"
"MIX4 SEND","300C","3043"
"MIX5 SEND","304C","3083"
"MIX6 SEND","308C","30C3"
"MIX7 SEND","30CC","3103"
"MIX8 SEND","310C","3143"
"INPUT TO MATRIX5","314C","3183"
"INPUT TO MATRIX6","318C","31C3"
"INPUT TO MATRIX7","31CC","3203"
"INPUT TO MATRIX8","320C","3243"
"MONO EQ ON","325E","3262"
"MONO EQ LOW Q","3264","3268"
"MONO EQ LOW FREQ","326A","326E"
"MONO EQ LOW GAIN","3270","3274"
"MONO EQ LOW MID Q","3276","327A"
"MONO EQ LOW MID FREQ","327C","3280"
"MONO EQ LOW MID GAIN","3282","3286"
"MONO EQ HIGH MID Q","3288","328C"
"MONO EQ HIGH MID FREQ","328E","3292"
"MONO EQ HIGH MID GAIN","3294","3298"
"MONO EQ HIGH Q","329A","329E"
"MONO EQ HIGH FREQ","32A0","32A4"
"MONO EQ HIGH GAIN","32A6","32AA"
"MONO EQ HPF ON","32AC","32B0"
"MONO EQ LPF ON","32B2","32B6"
"INPUT EQ LOW TYPE","3440","3477"
"INPUT EQ HIGH TYPE","3480","34B7"
"MIX/MATRIX/ST EQ LOW TYPE","34C0","34E2"
"MIX/MATRIX/ST EQ HIGH TYPE","34E4","3506"
"INPUT HPF FREQ","3640","3677"
"MONO DYN1 ON","3680","3684"
"MONO DYN1 ATTACK","3686","368A"
"MONO DYN1 THRESHOLD","368C","3690"
"MONO DYN1 RELEASE","3692","3696"
"MONO DYN1 RATIO","3698","369C"
"MONO DYN1 GAIN","369E","36A2"
"MONO DYN1 KNEE/WIDTH","36A4","36A8"
"MIX1–2 PAN","36AA","36E1"
"MIX3–4 PAN","36EA","3721"
"MIX5–6 PAN","372A","3761"
"MIX7–8 PAN","376A","37A1"
"INPUT TO MATRIX5–6 PAN","37AA","37E1"
"INPUT TO MATRIX7–8 PAN","37EA","3821"
"MONO TO MATRIX1–2 PAN","382A","382E"
"MONO TO MATRIX3–4 PAN","3830","3834"
"MONO TO MATRIX5–6 PAN","3836","383A"
"MONO TO MATRIX7–8 PAN","383C","3840"
"MIX9–16 TO ST ON","3842","3849"
"GEQ4–6 ON","3852","3857"
"GEQ4–6 GAIN1","3858","385D"
"GEQ4–6 GAIN2","385E","3863"
"GEQ4–6 GAIN3","3864","3869"
"GEQ4–6 GAIN4","386A","386F"
"GEQ4–6 GAIN5","3870","3875"
"GEQ4–6 GAIN6","3876","387B"
"GEQ4–6 GAIN7","387C","3881"
"GEQ4–6 GAIN8","3882","3887"
"GEQ4–6 GAIN9","3888","388D"
"GEQ4–6 GAIN10","388E","3893"
